date,order_id,region,country,sales_rep,product,category,units,unit_price,revenue,discount_pct,margin_pct,customer,segment,channel,status
2024-07-30,ORD-100775,North America,Canada,M. Dubois,Retab Extract,Platform,54,983.0,45119.7,15,65.9,"Wayne LLC",Enterprise,Direct,paid
2024-12-03,ORD-100776,North America,United States,S. Patel,Priority Support,Services,89,218.7,19464.3,0,45.0,"Hooli Inc",Startup,Direct,pending
2024-09-19,ORD-100777,EMEA,Germany,L. Rossi,Priority Support,Services,30,44.39,1331.7,0,47.7,"Initech GmbH",Strategic,Partner,paid
2024-06-27,ORD-100778,APAC,Singapore,F. Haddad,Volume Credits,Usage,112,543.55,57833.72,5,49.0,"Umbra Co",Enterprise,Marketplace,paid
2024-10-25,ORD-100779,APAC,Australia,P. Novak,Retab Classify,Platform,245,996.57,183119.74,25,56.6,"Hooli GmbH",Startup,Marketplace,paid
2024-04-12,ORD-100780,APAC,India,F. Haddad,Retab Extract,Platform,116,52.82,5514.41,10,63.8,"Hooli Ltd",Enterprise,Marketplace,paid
2024-02-28,ORD-100781,EMEA,South Africa,M. Dubois,Priority Support,Services,110,2342.02,244741.09,5,41.2,"Vandelay GmbH",Enterprise,Direct,paid
2024-06-12,ORD-100782,North America,Mexico,J. Müller,Priority Support,Services,55,201.69,9429.01,15,77.5,"Soylent Inc",Enterprise,Partner,pending
2024-04-21,ORD-100783,North America,Mexico,D. Walsh,Consensus Add-on,Add-on,184,543.54,100011.36,0,63.3,"Stark Co",Strategic,Self-Serve,paid
2024-04-11,ORD-100784,EMEA,United Kingdom,P. Novak,Volume Credits,Usage,128,31.84,3260.42,20,43.2,"Wayne LLC",Enterprise,Marketplace,paid
2024-10-22,ORD-100785,North America,Canada,F. Haddad,Retab Parse,Platform,165,2676.98,441701.7,0,78.1,"Hooli LLC",Strategic,Direct,pending
2024-09-27,ORD-100786,North America,Canada,D. Walsh,Retab Parse,Platform,18,182.89,2633.62,20,69.8,"Hooli GmbH",Enterprise,Marketplace,paid
2024-10-11,ORD-100787,APAC,Singapore,P. Novak,Audit Logs,Add-on,13,190.98,1862.05,25,59.7,"Globex GmbH",Startup,Direct,paid
2024-01-25,ORD-100788,North America,United States,N. Costa,Retab Extract,Platform,83,2592.76,172159.26,20,48.0,"Globex LLC",Enterprise,Direct,refunded
2024-01-27,ORD-100789,APAC,Japan,N. Costa,Retab Extract,Platform,13,90.59,1001.02,15,68.3,"Stark GmbH",Mid-Market,Partner,pending
2024-08-23,ORD-100790,North America,United States,T. Andersson,Priority Support,Services,221,51.48,9101.66,20,66.0,"Globex Ltd",Mid-Market,Marketplace,refunded
2024-09-07,ORD-100791,APAC,India,F. Haddad,Volume Credits,Usage,58,27.63,1442.29,10,69.3,"Vandelay Ltd",Mid-Market,Partner,refunded
2024-02-09,ORD-100792,North America,Canada,R. Okafor,Retab Parse,Platform,55,29.99,1237.09,25,74.0,"Umbra SA",Enterprise,Partner,pending
2024-09-27,ORD-100793,APAC,India,J. Müller,Volume Credits,Usage,168,52.41,8804.88,0,78.2,"Umbra GmbH",Strategic,Partner,paid
2024-04-06,ORD-100794,North America,Canada,R. Okafor,Onboarding,Services,43,960.47,41300.21,0,44.5,"Globex Co",Mid-Market,Direct,paid
2024-04-05,ORD-100795,APAC,Japan,K. Nakamura,Volume Credits,Usage,170,494.27,75623.31,10,43.2,"Soylent Inc",Strategic,Partner,paid
2024-07-22,ORD-100796,LATAM,Chile,L. Rossi,Retab Parse,Platform,113,96.42,10895.46,0,66.5,"Stark LLC",Mid-Market,Marketplace,paid
2024-10-31,ORD-100797,APAC,South Korea,R. Okafor,Audit Logs,Add-on,127,492.37,62530.99,0,66.4,"Globex LLC",Startup,Direct,pending
2024-05-16,ORD-100798,EMEA,United Kingdom,N. Costa,Enterprise SSO,Add-on,26,93.58,1946.46,20,55.2,"Globex LLC",Enterprise,Marketplace,paid
2024-03-28,ORD-100799,EMEA,France,P. Novak,Consensus Add-on,Add-on,181,477.84,86489.04,0,42.1,"Soylent Co",Strategic,Self-Serve,refunded
2024-05-02,ORD-100800,EMEA,France,E. Santos,Retab Extract,Platform,43,47.36,1527.36,25,44.2,"Acme Co",Strategic,Self-Serve,paid
2024-03-31,ORD-100801,APAC,Japan,E. Santos,Retab Split,Platform,174,2675.47,395702.01,15,80.7,"Massive Inc",Mid-Market,Marketplace,paid
2024-01-24,ORD-100802,North America,Mexico,L. Rossi,Consensus Add-on,Add-on,214,49.25,10539.5,0,71.2,"Globex Inc",Enterprise,Marketplace,paid
2024-06-28,ORD-100803,APAC,Singapore,D. Walsh,Consensus Add-on,Add-on,94,179.64,14353.24,15,51.2,"Vandelay Ltd",Strategic,Direct,paid
2024-12-17,ORD-100804,North America,United States,P. Novak,Onboarding,Services,220,50.56,11123.2,0,53.7,"Acme LLC",Strategic,Self-Serve,paid
2024-02-15,ORD-100805,EMEA,Spain,L. Rossi,Retab Extract,Platform,248,106.47,19803.42,25,81.4,"Soylent LLC",Enterprise,Self-Serve,paid
2024-10-28,ORD-100806,LATAM,Chile,D. Walsh,Consensus Add-on,Add-on,49,29.46,1227.01,15,74.7,"Globex SA",Strategic,Self-Serve,paid
2024-02-26,ORD-100807,North America,Canada,E. Santos,Retab Split,Platform,120,929.12,100344.96,10,65.4,"Initech GmbH",Enterprise,Direct,paid
2024-01-08,ORD-100808,LATAM,Brazil,K. Nakamura,Retab Classify,Platform,73,2545.52,185822.96,0,59.5,"Acme SA",Startup,Direct,paid
2024-03-11,ORD-100809,APAC,India,S. Patel,Enterprise SSO,Add-on,171,2529.36,432520.56,0,69.4,"Initech Co",Strategic,Direct,paid
2024-04-22,ORD-100810,North America,Canada,L. Rossi,Priority Support,Services,64,2588.21,132516.35,20,56.6,"Globex GmbH",Enterprise,Partner,pending
2024-08-11,ORD-100811,APAC,South Korea,L. Rossi,Retab Split,Platform,175,2348.81,411041.75,0,56.3,"Umbra GmbH",Startup,Self-Serve,pending
2024-11-17,ORD-100812,LATAM,Argentina,H. Kim,Onboarding,Services,201,2467.46,495959.46,0,61.2,"Vandelay Ltd",Enterprise,Marketplace,paid
2024-08-06,ORD-100813,LATAM,Colombia,D. Walsh,Onboarding,Services,119,31.39,3735.41,0,80.1,"Stark Inc",Mid-Market,Self-Serve,paid
2024-10-24,ORD-100814,APAC,Australia,J. Müller,Audit Logs,Add-on,140,536.7,75138.0,0,71.2,"Stark LLC",Startup,Marketplace,pending
2024-08-23,ORD-100815,North America,United States,P. Novak,Retab Parse,Platform,70,2741.99,191939.3,0,52.7,"Globex GmbH",Strategic,Self-Serve,paid
2024-03-03,ORD-100816,North America,Mexico,H. Kim,Retab Classify,Platform,133,49.61,4948.6,25,44.0,"Initech GmbH",Enterprise,Direct,paid
2024-11-15,ORD-100817,EMEA,United Kingdom,R. Okafor,Retab Extract,Platform,1,50.02,50.02,0,60.9,"Umbra LLC",Strategic,Direct,pending
2024-08-15,ORD-100818,LATAM,Brazil,F. Haddad,Retab Extract,Platform,77,198.35,15272.95,0,74.1,"Soylent GmbH",Strategic,Direct,paid
2024-03-15,ORD-100819,North America,United States,E. Santos,Retab Split,Platform,210,1030.46,216396.6,0,60.5,"Soylent LLC",Strategic,Self-Serve,paid
2024-12-07,ORD-100820,North America,Mexico,J. Müller,Volume Credits,Usage,95,954.08,72510.08,20,68.7,"Globex SA",Strategic,Partner,paid
2024-05-25,ORD-100821,LATAM,Brazil,A. Chen,Audit Logs,Add-on,100,29.47,2947.0,0,66.4,"Massive SA",Enterprise,Partner,paid
2024-08-22,ORD-100822,APAC,Japan,T. Andersson,Retab Split,Platform,92,534.51,46716.17,5,53.3,"Soylent SA",Startup,Partner,refunded
2024-03-18,ORD-100823,APAC,South Korea,R. Okafor,Priority Support,Services,118,1070.66,126337.88,0,50.2,"Hooli SA",Strategic,Marketplace,paid
2024-11-06,ORD-100824,EMEA,Italy,K. Nakamura,Enterprise SSO,Add-on,199,1004.08,199811.92,0,68.7,"Massive Ltd",Strategic,Direct,paid
2024-01-16,ORD-100825,EMEA,Germany,D. Walsh,Retab Extract,Platform,171,29.0,3719.25,25,52.2,"Umbra Co",Mid-Market,Direct,paid
2024-07-15,ORD-100826,LATAM,Brazil,H. Kim,Retab Parse,Platform,157,91.37,14345.09,0,57.4,"Vandelay Ltd",Startup,Partner,paid
2024-02-25,ORD-100827,LATAM,Colombia,L. Rossi,Retab Split,Platform,164,504.64,78622.91,5,49.1,"Wayne Co",Mid-Market,Partner,refunded
2024-03-23,ORD-100828,LATAM,Argentina,K. Nakamura,Retab Extract,Platform,150,29.75,4462.5,0,47.0,"Initech Inc",Strategic,Direct,paid
2024-04-04,ORD-100829,LATAM,Argentina,D. Walsh,Retab Classify,Platform,147,2485.87,310609.46,15,53.7,"Soylent LLC",Startup,Marketplace,paid
2024-11-16,ORD-100830,LATAM,Brazil,A. Chen,Audit Logs,Add-on,21,51.77,978.45,10,42.4,"Wayne LLC",Enterprise,Direct,paid
2024-05-28,ORD-100831,APAC,Singapore,F. Haddad,Priority Support,Services,18,2684.66,43491.49,10,41.3,"Massive LLC",Enterprise,Marketplace,pending
2024-01-30,ORD-100832,North America,Mexico,K. Nakamura,Volume Credits,Usage,240,102.03,24487.2,0,52.9,"Hooli LLC",Startup,Partner,paid
2024-10-07,ORD-100833,APAC,Japan,P. Novak,Retab Classify,Platform,127,30.77,3907.79,0,53.2,"Globex SA",Startup,Marketplace,paid
2024-05-18,ORD-100834,North America,United States,A. Chen,Retab Parse,Platform,128,471.58,51307.9,15,57.0,"Hooli LLC",Startup,Direct,paid
2024-09-30,ORD-100835,LATAM,Brazil,J. Müller,Enterprise SSO,Add-on,124,28.35,2812.32,20,68.6,"Stark Co",Mid-Market,Direct,paid
2024-03-01,ORD-100836,APAC,India,S. Patel,Retab Classify,Platform,88,215.64,18027.5,5,48.2,"Massive Inc",Strategic,Direct,paid
2024-05-07,ORD-100837,North America,United States,S. Patel,Retab Parse,Platform,33,186.29,6147.57,0,51.8,"Massive Co",Enterprise,Partner,pending
2024-07-22,ORD-100838,LATAM,Brazil,E. Santos,Retab Extract,Platform,20,107.68,2045.92,5,59.8,"Vandelay LLC",Enterprise,Self-Serve,pending
2024-05-29,ORD-100839,EMEA,Italy,P. Novak,Consensus Add-on,Add-on,82,1007.28,82596.96,0,40.4,"Stark Co",Strategic,Self-Serve,paid
2024-04-14,ORD-100840,EMEA,South Africa,S. Patel,Enterprise SSO,Add-on,60,103.79,5916.03,5,43.4,"Initech Inc",Strategic,Marketplace,paid
2024-01-11,ORD-100841,LATAM,Brazil,E. Santos,Consensus Add-on,Add-on,72,487.44,35095.68,0,40.6,"Massive SA",Startup,Marketplace,paid
2024-08-15,ORD-100842,North America,United States,D. Walsh,Retab Classify,Platform,98,50.57,4955.86,0,67.1,"Acme Ltd",Enterprise,Direct,pending
2024-06-21,ORD-100843,APAC,South Korea,T. Andersson,Retab Classify,Platform,194,28.08,4358.02,20,76.1,"Acme Inc",Strategic,Self-Serve,pending
2024-08-25,ORD-100844,LATAM,Chile,D. Walsh,Retab Split,Platform,246,197.7,46202.49,5,43.8,"Acme GmbH",Enterprise,Direct,paid
2024-10-04,ORD-100845,APAC,India,D. Walsh,Audit Logs,Add-on,102,29.67,2572.39,15,49.8,"Hooli Co",Startup,Direct,paid
2024-10-18,ORD-100846,APAC,India,H. Kim,Retab Split,Platform,114,179.79,20496.06,0,58.5,"Vandelay SA",Mid-Market,Marketplace,paid
2024-10-23,ORD-100847,North America,Canada,F. Haddad,Audit Logs,Add-on,142,107.98,11499.87,25,45.9,"Hooli GmbH",Strategic,Partner,paid
2024-11-18,ORD-100848,EMEA,Germany,P. Novak,Audit Logs,Add-on,168,27.45,4611.6,0,46.1,"Soylent SA",Enterprise,Direct,pending
2024-04-26,ORD-100849,North America,Mexico,S. Patel,Consensus Add-on,Add-on,250,89.42,19001.75,15,61.8,"Acme Ltd",Enterprise,Direct,paid
2024-09-16,ORD-100850,LATAM,Brazil,H. Kim,Enterprise SSO,Add-on,20,46.1,783.7,15,74.5,"Stark Inc",Strategic,Self-Serve,paid
2024-01-13,ORD-100851,APAC,South Korea,A. Chen,Priority Support,Services,86,214.82,15703.34,15,58.7,"Hooli Ltd",Mid-Market,Self-Serve,paid
2024-05-28,ORD-100852,EMEA,Italy,N. Costa,Retab Parse,Platform,28,470.21,11191.0,15,60.5,"Soylent Ltd",Enterprise,Partner,paid
2024-10-25,ORD-100853,North America,Mexico,T. Andersson,Retab Split,Platform,98,2747.81,269285.38,0,80.0,"Umbra Ltd",Strategic,Direct,pending
2024-01-27,ORD-100854,LATAM,Colombia,D. Walsh,Priority Support,Services,69,52.29,3247.21,10,78.1,"Vandelay LLC",Enterprise,Partner,paid
2024-06-10,ORD-100855,North America,Mexico,T. Andersson,Retab Classify,Platform,114,1090.43,99447.22,20,53.9,"Vandelay Ltd",Startup,Self-Serve,refunded
2024-09-04,ORD-100856,EMEA,Spain,H. Kim,Onboarding,Services,59,531.72,31371.48,0,78.7,"Umbra SA",Mid-Market,Self-Serve,paid
2024-06-23,ORD-100857,APAC,Japan,E. Santos,Retab Extract,Platform,105,199.2,20916.0,0,63.3,"Umbra LLC",Startup,Partner,paid
2024-08-02,ORD-100858,APAC,South Korea,M. Dubois,Volume Credits,Usage,191,26.83,5124.53,0,74.7,"Acme Co",Startup,Partner,pending
2024-09-28,ORD-100859,LATAM,Colombia,F. Haddad,Priority Support,Services,33,206.84,6484.43,5,69.3,"Globex GmbH",Enterprise,Direct,refunded
2024-01-24,ORD-100860,North America,Mexico,D. Walsh,Priority Support,Services,244,215.34,39407.22,25,70.6,"Stark GmbH",Strategic,Partner,refunded
2024-04-03,ORD-100861,North America,United States,T. Andersson,Retab Parse,Platform,152,486.01,55405.14,25,54.7,"Wayne LLC",Enterprise,Direct,paid
2024-06-01,ORD-100862,LATAM,Chile,D. Walsh,Retab Parse,Platform,145,538.65,62483.4,20,50.6,"Stark GmbH",Mid-Market,Partner,paid
2024-04-17,ORD-100863,LATAM,Chile,L. Rossi,Audit Logs,Add-on,226,480.47,92298.29,15,50.5,"Globex GmbH",Strategic,Marketplace,paid
2024-03-27,ORD-100864,APAC,India,F. Haddad,Audit Logs,Add-on,193,31.46,5464.6,10,44.2,"Umbra Ltd",Mid-Market,Direct,pending
2024-01-21,ORD-100865,EMEA,United Kingdom,N. Costa,Volume Credits,Usage,214,2261.98,459860.53,5,50.4,"Massive SA",Strategic,Partner,paid
2024-05-31,ORD-100866,North America,Mexico,H. Kim,Retab Extract,Platform,114,198.73,22655.22,0,76.0,"Hooli Co",Startup,Self-Serve,paid
2024-04-23,ORD-100867,North America,Canada,J. Müller,Retab Split,Platform,130,94.57,12294.1,0,69.1,"Vandelay Inc",Startup,Self-Serve,paid
2024-10-12,ORD-100868,North America,Mexico,M. Dubois,Retab Parse,Platform,63,49.85,2983.52,5,67.6,"Hooli SA",Strategic,Partner,refunded
2024-09-11,ORD-100869,APAC,Australia,T. Andersson,Retab Classify,Platform,163,31.61,4894.81,5,38.1,"Globex SA",Mid-Market,Partner,paid
2024-08-02,ORD-100870,APAC,South Korea,F. Haddad,Onboarding,Services,162,472.52,65066.0,15,59.3,"Initech GmbH",Mid-Market,Self-Serve,refunded
2024-09-05,ORD-100871,LATAM,Colombia,E. Santos,Audit Logs,Add-on,92,497.1,45733.2,0,47.6,"Hooli SA",Enterprise,Partner,refunded
2024-08-05,ORD-100872,North America,United States,F. Haddad,Volume Credits,Usage,245,102.18,21278.99,15,68.7,"Initech SA",Strategic,Marketplace,refunded
2024-04-30,ORD-100873,North America,Canada,H. Kim,Consensus Add-on,Add-on,130,52.82,5493.28,20,40.7,"Vandelay GmbH",Enterprise,Marketplace,paid
2024-08-14,ORD-100874,LATAM,Colombia,E. Santos,Consensus Add-on,Add-on,234,27.66,6148.82,5,53.0,"Acme GmbH",Strategic,Partner,pending
2024-03-26,ORD-100875,EMEA,South Africa,A. Chen,Retab Extract,Platform,243,510.05,123942.15,0,64.6,"Acme Co",Strategic,Direct,refunded
2024-06-19,ORD-100876,APAC,South Korea,J. Müller,Retab Extract,Platform,168,29.11,4156.91,15,61.6,"Initech Ltd",Mid-Market,Self-Serve,paid
2024-07-10,ORD-100877,APAC,Singapore,R. Okafor,Retab Classify,Platform,142,948.79,134728.18,0,39.6,"Acme Ltd",Strategic,Marketplace,paid
2024-03-21,ORD-100878,APAC,India,H. Kim,Retab Parse,Platform,59,1053.43,59044.75,5,39.5,"Globex SA",Strategic,Partner,refunded
2024-05-18,ORD-100879,North America,United States,M. Dubois,Retab Extract,Platform,130,1039.66,108124.64,20,38.9,"Soylent Ltd",Startup,Marketplace,paid
2024-11-06,ORD-100880,APAC,India,H. Kim,Onboarding,Services,132,903.78,107369.06,10,58.2,"Globex GmbH",Strategic,Marketplace,paid
2024-08-07,ORD-100881,North America,United States,J. Müller,Onboarding,Services,144,98.67,13498.06,5,54.8,"Wayne Co",Enterprise,Direct,paid
2024-04-24,ORD-100882,North America,Canada,D. Walsh,Retab Classify,Platform,115,98.54,11332.1,0,66.3,"Vandelay LLC",Startup,Direct,pending
2024-03-27,ORD-100883,EMEA,South Africa,N. Costa,Volume Credits,Usage,152,44.92,5462.27,20,65.1,"Wayne Ltd",Mid-Market,Direct,paid
2024-05-09,ORD-100884,LATAM,Chile,S. Patel,Priority Support,Services,214,44.46,7611.55,20,76.3,"Hooli Co",Strategic,Marketplace,paid
2024-11-29,ORD-100885,EMEA,France,R. Okafor,Volume Credits,Usage,182,199.57,36321.74,0,78.5,"Stark Co",Strategic,Partner,paid
2024-03-23,ORD-100886,North America,United States,H. Kim,Retab Classify,Platform,113,2734.86,309039.18,0,77.0,"Wayne LLC",Strategic,Partner,refunded
2024-10-07,ORD-100887,LATAM,Colombia,K. Nakamura,Retab Parse,Platform,76,28.63,1958.29,10,69.7,"Hooli Ltd",Enterprise,Partner,paid
2024-05-28,ORD-100888,EMEA,South Africa,N. Costa,Audit Logs,Add-on,244,973.28,213732.29,10,58.8,"Umbra GmbH",Mid-Market,Partner,pending
2024-08-30,ORD-100889,North America,Canada,N. Costa,Onboarding,Services,46,48.71,2240.66,0,51.7,"Umbra LLC",Startup,Marketplace,paid
2024-02-18,ORD-100890,North America,Mexico,L. Rossi,Volume Credits,Usage,153,44.75,6504.41,5,53.2,"Acme LLC",Enterprise,Marketplace,pending
2024-06-05,ORD-100891,APAC,South Korea,N. Costa,Onboarding,Services,240,100.21,22847.88,5,41.4,"Initech Inc",Mid-Market,Self-Serve,paid
2024-05-14,ORD-100892,North America,United States,L. Rossi,Enterprise SSO,Add-on,151,1052.16,135044.74,15,63.3,"Massive Ltd",Strategic,Partner,paid
2024-01-02,ORD-100893,EMEA,Germany,R. Okafor,Retab Extract,Platform,238,2556.44,608432.72,0,45.3,"Acme GmbH",Startup,Partner,pending
2024-08-13,ORD-100894,LATAM,Colombia,N. Costa,Priority Support,Services,78,524.95,38898.8,5,62.6,"Stark SA",Strategic,Self-Serve,paid
2024-09-24,ORD-100895,APAC,South Korea,M. Dubois,Retab Extract,Platform,227,533.15,121025.05,0,79.6,"Hooli Co",Strategic,Marketplace,paid
2024-12-21,ORD-100896,APAC,Japan,D. Walsh,Enterprise SSO,Add-on,231,205.05,47366.55,0,39.1,"Vandelay SA",Enterprise,Marketplace,paid
2024-11-11,ORD-100897,EMEA,Spain,A. Chen,Priority Support,Services,46,1097.99,47982.16,5,57.5,"Soylent LLC",Enterprise,Self-Serve,paid
2024-07-07,ORD-100898,APAC,South Korea,N. Costa,Retab Parse,Platform,156,89.76,12602.3,10,66.2,"Stark Inc",Enterprise,Self-Serve,refunded
2024-01-30,ORD-100899,North America,Mexico,A. Chen,Volume Credits,Usage,156,989.91,154425.96,0,58.8,"Soylent Inc",Enterprise,Direct,pending
2024-12-31,ORD-100900,EMEA,UAE,E. Santos,Retab Split,Platform,223,2314.9,412978.16,20,74.7,"Globex Inc",Startup,Self-Serve,paid
2024-10-05,ORD-100901,APAC,Australia,N. Costa,Audit Logs,Add-on,189,28.03,4503.02,15,77.5,"Initech Ltd",Enterprise,Direct,refunded
2024-07-25,ORD-100902,LATAM,Brazil,E. Santos,Retab Extract,Platform,50,2629.59,131479.5,0,70.1,"Globex LLC",Startup,Self-Serve,pending
2024-04-11,ORD-100903,LATAM,Argentina,R. Okafor,Retab Parse,Platform,80,100.2,8016.0,0,53.0,"Massive Co",Strategic,Direct,paid
2024-02-16,ORD-100904,EMEA,UAE,H. Kim,Retab Extract,Platform,48,100.8,4838.4,0,71.7,"Acme LLC",Enterprise,Marketplace,paid
2024-05-06,ORD-100905,APAC,Australia,K. Nakamura,Retab Split,Platform,80,28.3,2037.6,10,45.8,"Initech Ltd",Strategic,Partner,paid
2024-05-19,ORD-100906,EMEA,Germany,K. Nakamura,Consensus Add-on,Add-on,67,986.93,66124.31,0,59.6,"Massive GmbH",Strategic,Partner,paid
2024-10-26,ORD-100907,LATAM,Argentina,K. Nakamura,Enterprise SSO,Add-on,146,53.84,6288.51,20,53.3,"Hooli LLC",Enterprise,Direct,pending
2024-04-17,ORD-100908,APAC,Australia,K. Nakamura,Volume Credits,Usage,67,31.45,2107.15,0,58.9,"Wayne Ltd",Enterprise,Marketplace,refunded
2024-10-28,ORD-100909,North America,Canada,K. Nakamura,Retab Extract,Platform,162,106.31,17222.22,0,45.0,"Wayne GmbH",Startup,Partner,paid
2024-06-05,ORD-100910,EMEA,Spain,J. Müller,Enterprise SSO,Add-on,48,2259.97,81358.92,25,64.1,"Stark Co",Strategic,Partner,paid
2024-07-10,ORD-100911,APAC,Singapore,J. Müller,Onboarding,Services,77,31.73,2321.05,5,71.6,"Soylent Inc",Strategic,Self-Serve,pending
2024-07-24,ORD-100912,North America,United States,M. Dubois,Enterprise SSO,Add-on,43,106.65,4356.65,5,79.9,"Massive LLC",Enterprise,Direct,paid
2024-06-07,ORD-100913,EMEA,South Africa,L. Rossi,Priority Support,Services,118,185.68,21910.24,0,67.0,"Umbra LLC",Enterprise,Direct,paid
2024-04-30,ORD-100914,EMEA,Spain,R. Okafor,Retab Extract,Platform,186,45.61,7210.94,15,38.2,"Initech GmbH",Strategic,Marketplace,refunded
2024-04-18,ORD-100915,LATAM,Colombia,J. Müller,Volume Credits,Usage,181,51.58,9335.98,0,55.1,"Vandelay LLC",Enterprise,Self-Serve,refunded
2024-08-05,ORD-100916,LATAM,Brazil,D. Walsh,Priority Support,Services,126,1047.04,131927.04,0,47.8,"Massive LLC",Mid-Market,Self-Serve,paid
2024-06-23,ORD-100917,North America,Mexico,S. Patel,Audit Logs,Add-on,193,215.5,39511.92,5,44.1,"Umbra Inc",Enterprise,Marketplace,paid
2024-06-22,ORD-100918,LATAM,Argentina,M. Dubois,Onboarding,Services,39,95.26,2786.36,25,39.5,"Stark LLC",Strategic,Direct,paid
2024-02-12,ORD-100919,APAC,Japan,H. Kim,Onboarding,Services,206,2255.21,394887.27,15,43.7,"Soylent SA",Strategic,Direct,paid
2024-11-30,ORD-100920,LATAM,Colombia,K. Nakamura,Retab Parse,Platform,78,189.39,14772.42,0,64.6,"Wayne Ltd",Strategic,Self-Serve,pending
2024-07-05,ORD-100921,North America,United States,P. Novak,Onboarding,Services,137,2440.76,334384.12,0,44.6,"Vandelay Co",Enterprise,Partner,pending
2024-11-10,ORD-100922,LATAM,Colombia,H. Kim,Retab Parse,Platform,119,89.89,8022.68,25,58.3,"Acme Ltd",Enterprise,Self-Serve,paid
2024-06-21,ORD-100923,APAC,Japan,H. Kim,Enterprise SSO,Add-on,69,46.97,2592.74,20,38.8,"Vandelay GmbH",Startup,Direct,paid
2024-01-19,ORD-100924,LATAM,Argentina,K. Nakamura,Retab Split,Platform,22,458.54,10087.88,0,65.8,"Stark GmbH",Strategic,Partner,refunded
2024-09-25,ORD-100925,LATAM,Brazil,H. Kim,Retab Extract,Platform,84,89.86,7548.24,0,54.8,"Globex GmbH",Enterprise,Marketplace,paid
2024-01-12,ORD-100926,EMEA,UAE,D. Walsh,Consensus Add-on,Add-on,185,1047.49,193785.65,0,74.8,"Stark Inc",Mid-Market,Self-Serve,paid
2024-11-11,ORD-100927,EMEA,UAE,T. Andersson,Retab Parse,Platform,96,496.3,38115.84,20,50.1,"Initech GmbH",Startup,Marketplace,paid
2024-12-13,ORD-100928,APAC,India,E. Santos,Retab Parse,Platform,105,44.28,3719.52,20,66.9,"Hooli GmbH",Enterprise,Direct,paid
2024-04-25,ORD-100929,North America,Mexico,T. Andersson,Priority Support,Services,57,29.65,1267.54,25,63.9,"Massive GmbH",Strategic,Marketplace,pending
2024-01-07,ORD-100930,APAC,India,T. Andersson,Priority Support,Services,89,2471.2,164952.6,25,75.6,"Wayne LLC",Mid-Market,Marketplace,paid
2024-07-25,ORD-100931,North America,Mexico,L. Rossi,Audit Logs,Add-on,248,29.76,6273.41,15,41.7,"Soylent GmbH",Enterprise,Self-Serve,paid
2024-12-11,ORD-100932,LATAM,Brazil,D. Walsh,Retab Split,Platform,160,465.74,63340.64,15,62.9,"Stark Inc",Enterprise,Marketplace,paid
2024-07-11,ORD-100933,EMEA,Spain,L. Rossi,Audit Logs,Add-on,243,2310.82,449223.41,20,47.6,"Globex Ltd",Mid-Market,Partner,refunded
2024-07-24,ORD-100934,LATAM,Chile,T. Andersson,Retab Classify,Platform,108,476.93,43782.17,15,65.7,"Vandelay Ltd",Strategic,Partner,paid
2024-09-10,ORD-100935,LATAM,Chile,H. Kim,Volume Credits,Usage,41,2337.88,86267.77,10,38.1,"Vandelay SA",Mid-Market,Direct,paid
2024-10-24,ORD-100936,LATAM,Colombia,R. Okafor,Onboarding,Services,49,904.9,42123.09,5,44.1,"Massive Ltd",Strategic,Direct,paid
2024-11-08,ORD-100937,EMEA,Germany,J. Müller,Audit Logs,Add-on,161,206.34,28237.63,15,39.0,"Massive Co",Mid-Market,Partner,paid
2024-07-07,ORD-100938,EMEA,Germany,S. Patel,Volume Credits,Usage,240,1083.19,220970.76,15,43.8,"Globex Inc",Strategic,Marketplace,paid
2024-12-16,ORD-100939,LATAM,Argentina,S. Patel,Retab Split,Platform,250,199.01,49752.5,0,73.4,"Vandelay LLC",Strategic,Direct,paid
2024-01-17,ORD-100940,LATAM,Colombia,N. Costa,Onboarding,Services,19,2457.56,42024.28,10,76.9,"Soylent Inc",Startup,Marketplace,paid
2024-01-31,ORD-100941,APAC,Singapore,M. Dubois,Retab Parse,Platform,94,207.62,14637.21,25,56.9,"Globex Inc",Enterprise,Direct,refunded
2024-03-27,ORD-100942,APAC,Singapore,N. Costa,Priority Support,Services,37,51.9,1824.28,5,49.6,"Vandelay Co",Startup,Marketplace,refunded
2024-09-08,ORD-100943,EMEA,South Africa,L. Rossi,Consensus Add-on,Add-on,88,102.75,7685.7,15,72.6,"Hooli Ltd",Startup,Partner,paid
2024-09-24,ORD-100944,APAC,Japan,H. Kim,Retab Classify,Platform,226,100.26,20392.88,10,51.5,"Initech Ltd",Enterprise,Marketplace,refunded
2024-08-13,ORD-100945,APAC,Australia,F. Haddad,Retab Split,Platform,38,478.27,14539.41,20,49.3,"Umbra Inc",Mid-Market,Self-Serve,paid
2024-10-26,ORD-100946,North America,Canada,H. Kim,Priority Support,Services,185,523.5,77478.0,20,59.0,"Initech GmbH",Mid-Market,Self-Serve,pending
2024-07-10,ORD-100947,LATAM,Colombia,R. Okafor,Retab Split,Platform,223,497.21,83158.37,25,77.5,"Acme Co",Enterprise,Partner,paid
2024-04-15,ORD-100948,EMEA,Germany,E. Santos,Consensus Add-on,Add-on,156,2613.34,407681.04,0,66.6,"Vandelay SA",Startup,Partner,refunded
2024-04-13,ORD-100949,APAC,Japan,T. Andersson,Onboarding,Services,161,31.62,5090.82,0,49.9,"Soylent Co",Startup,Direct,paid
