#,date,authored_at,short_sha,sha,subject,author,parent_count,diff_basis,repo_files_changed,repo_insertions,repo_deletions,repo_loc_changed,repo_areas_changed,pdf_viewer_path_files_changed,pdf_viewer_path_insertions,pdf_viewer_path_deletions,pdf_viewer_path_loc_changed,pdf_related_files_changed,pdf_related_loc_changed,pdf_related_categories,pdf_related_files,pdf_behavior_summary,regression_relevance
48,2026-06-12,2026-06-12T00:02:22+02:00,91385a8,91385a853722df70790d841d443d1c4797adf355,update components,Sacha Ichbiah,1,parent,417,39777,23238,63015,components: 207 files / 35000 LOC; registry ui: 76 files / 15447 LOC; tests: 38 files / 6562 LOC; registry: 12 files / 1739 LOC; design: 5 files / 1629 LOC; registry json: 32 files / 1105 LOC; docs: 12 files / 512 LOC; registry.json: 1 files / 483 LOC,11,1135,682,1817,18,2812,PDF related; docs; loading / error states; page canvas rendering; public types; registry output; scroll state; tests; thumbnail UI; viewer entrypoint; virtualization; zoom / DPR,registry/new-york-v4/ui/pdf-viewer.tsx (+171/-682) | tests/pdf-viewer.test.tsx (+626/-0) | registry/new-york-v4/ui/pdf-viewer-states.tsx (+165/-0) | registry/new-york-v4/ui/pdf-viewer-resource.ts (+149/-0) | registry/new-york-v4/ui/pdf-viewer-scroll.ts (+129/-0) | registry/new-york-v4/ui/pdf-viewer-scale.ts (+120/-0) | registry/new-york-v4/ui/pdf-viewer-toolbar.tsx (+112/-0) | tests/pdf-viewer-resource.test.ts (+104/-0) | registry/new-york-v4/ui/pdf-viewer-page.tsx (+96/-0) | registry/new-york-v4/ui/pdf-viewer-virtualization.ts (+76/-0) | content/docs/viewers/pdf-viewer.mdx (+45/-21) | public/r/pdf-viewer.json (+62/-2) | components/document-thumbnail/renderers/pdf-thumbnail.tsx (+57/-0) | tests/pdf-viewer-page-sizes.test.ts (+53/-0) | registry/new-york-v4/ui/pdf-viewer-rail.tsx (+45/-0) | registry/new-york-v4/ui/pdf-viewer-types.ts (+44/-0) | registry/new-york-v4/ui/pdf-viewer-page-sizes.ts (+28/-0) | tests/pdf-viewer-scale.test.ts (+25/-0),Changed page virtualization/windowing. Changed page scroll tracking/navigation. Updated PDF tests. Regenerated registry JSON output. Files: public/r/pdf-viewer.json | registry/new-york-v4/ui/pdf-viewer-page-sizes.ts | registry/new-york-v4/ui/pdf-viewer-page.tsx | registry/new-york-v4/ui/pdf-viewer-rail.tsx | registry/new-york-v4/ui/pdf-viewer-resource.ts | registry/new-york-v4/ui/pdf-viewer-scale.ts | registry/new-york-v4/ui/pdf-viewer-scroll.ts | registry/new-york-v4/ui/pdf-viewer-states.tsx | registry/new-york-v4/ui/pdf-viewer-toolbar.tsx | registry/new-york-v4/ui/pdf-viewer-types.ts | registry/new-york-v4/ui/pdf-viewer-virtualization.ts | registry/new-york-v4/ui/pdf-viewer.tsx | tests/pdf-viewer-page-sizes.test.ts | tests/pdf-viewer-resource.test.ts | tests/pdf-viewer-scale.test.ts | tests/pdf-viewer.test.tsx,P2 large PDF core change; inspect if reverting beyond focused fix.
49,2026-06-12,2026-06-12T09:18:57+02:00,e757c13,e757c13244f22f3354dc6316d29a1c2e13f0987b,checkpoint,Sacha Ichbiah,1,parent,184,6396,4281,10677,components: 76 files / 5183 LOC; registry ui: 41 files / 1784 LOC; tests: 21 files / 1469 LOC; registry json: 24 files / 791 LOC; registry.json: 1 files / 539 LOC; scripts: 2 files / 407 LOC; registry: 2 files / 258 LOC; docs: 6 files / 144 LOC,4,31,62,93,14,261,PDF source overlays; benchmark; docs; public types; registry output; scroll state; tests; thumbnail UI; viewer entrypoint; zoom / DPR,tests/pdf-viewer.test.tsx (+58/-13) | registry/new-york-v4/ui/pdf-viewer.tsx (+12/-30) | registry/new-york-v4/ui/pdf-viewer-scroll.ts (+16/-20) | registry/new-york-v4/blocks/pdf-thumbnails-block.tsx (+13/-11) | app/(view)/pdf-viewer-benchmark/page.tsx (+23/-0) | content/docs/viewers/pdf-viewer.mdx (+7/-10) | public/r/pdf-viewer.json (+5/-5) | registry/new-york-v4/ui/pdf-viewer-types.ts (+3/-6) | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx (+5/-2) | public/r/pdf-thumbnails-block.json (+3/-3) | registry/new-york-v4/ui/pdf-viewer-scale.ts (+0/-6) | public/r/pdf-thumbnail-sidebar.json (+2/-2) | registry/new-york-v4/ui/pdf-source.tsx (+2/-2) | public/r/pdf-source.json (+1/-1),Changed page scroll tracking/navigation. Updated PDF tests. Regenerated registry JSON output. Updated PDF benchmark harness. Files: app/(view)/pdf-viewer-benchmark/page.tsx | public/r/pdf-source.json | public/r/pdf-thumbnail-sidebar.json | public/r/pdf-thumbnails-block.json | public/r/pdf-viewer.json | registry/new-york-v4/blocks/pdf-thumbnails-block.tsx | registry/new-york-v4/ui/pdf-source.tsx | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx | registry/new-york-v4/ui/pdf-viewer-scale.ts | registry/new-york-v4/ui/pdf-viewer-scroll.ts | registry/new-york-v4/ui/pdf-viewer-types.ts | registry/new-york-v4/ui/pdf-viewer.tsx | tests/pdf-viewer.test.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
50,2026-06-12,2026-06-12T09:25:01+02:00,8a9060b,8a9060b8fc5e685fde69d18e40755e11c8227c04,optimize viewers,Sacha Ichbiah,1,parent,24,655,365,1020,registry ui: 5 files / 358 LOC; tests: 5 files / 319 LOC; registry: 2 files / 177 LOC; components: 8 files / 138 LOC; registry json: 3 files / 23 LOC; registry.json: 1 files / 5 LOC,4,219,125,344,6,400,layout geometry; registry output; scroll state; tests; viewer entrypoint; virtualization,registry/new-york-v4/ui/pdf-viewer-layout.ts (+117/-0) | registry/new-york-v4/ui/pdf-viewer-virtualization.ts (+37/-64) | registry/new-york-v4/ui/pdf-viewer.tsx (+50/-38) | tests/pdf-viewer.test.tsx (+16/-28) | registry/new-york-v4/ui/pdf-viewer-scroll.ts (+15/-23) | public/r/pdf-viewer.json (+9/-3),Earlier broad optimization point: replaces observer/DOM measurement with layout-model virtualization. Changed page layout geometry model. Changed page virtualization/windowing. Changed page scroll tracking/navigation. Updated PDF tests. Regenerated registry JSON output. Files: public/r/pdf-viewer.json | registry/new-york-v4/ui/pdf-viewer-layout.ts | registry/new-york-v4/ui/pdf-viewer-scroll.ts | registry/new-york-v4/ui/pdf-viewer-virtualization.ts | registry/new-york-v4/ui/pdf-viewer.tsx | tests/pdf-viewer.test.tsx,P2 earlier baseline shift: major virtualization/layout optimization before the DPR blink existed.
51,2026-06-12,2026-06-12T09:53:59+02:00,e43ea7b,e43ea7bced6555a4c61fd4a446128310a706c048,update viewers,Sacha Ichbiah,1,parent,62,4863,941,5804,components: 17 files / 1625 LOC; registry ui: 14 files / 1572 LOC; view routes: 6 files / 1001 LOC; tests: 6 files / 767 LOC; registry: 5 files / 698 LOC; registry json: 7 files / 98 LOC; registry.json: 1 files / 31 LOC; components ui: 5 files / 11 LOC,4,144,37,181,9,630,benchmark; layout geometry; registry output; tests; viewer entrypoint; virtualization,tests/pdf-viewer-layout.test.ts (+184/-0) | app/(view)/pdf-viewer-benchmark/pdf-viewer-benchmark-client.tsx (+158/-0) | registry/new-york-v4/ui/pdf-viewer-layout.ts (+122/-32) | tests/pdf-viewer-virtualization.test.tsx (+86/-0) | registry/new-york-v4/ui/pdf-viewer-virtualization.ts (+19/-3) | app/(view)/pdf-viewer-benchmark/page.tsx (+2/-13) | public/r/pdf-viewer.json (+3/-3) | registry/new-york-v4/ui/pdf-viewer.tsx (+2/-2) | components/ui/pdf-viewer-layout.ts (+1/-0),Changed page layout geometry model. Changed page virtualization/windowing. Updated PDF tests. Regenerated registry JSON output. Updated PDF benchmark harness. Files: app/(view)/pdf-viewer-benchmark/page.tsx | app/(view)/pdf-viewer-benchmark/pdf-viewer-benchmark-client.tsx | components/ui/pdf-viewer-layout.ts | public/r/pdf-viewer.json | registry/new-york-v4/ui/pdf-viewer-layout.ts | registry/new-york-v4/ui/pdf-viewer-virtualization.ts | registry/new-york-v4/ui/pdf-viewer.tsx | tests/pdf-viewer-layout.test.ts | tests/pdf-viewer-virtualization.test.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
52,2026-06-12,2026-06-12T09:54:14+02:00,0e61022,0e61022f33acadef20735a908c9897191ae027e1,checkpoint,Sacha Ichbiah,1,parent,3,19,1,20,tests: 2 files / 19 LOC; view routes: 1 files / 1 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
53,2026-06-12,2026-06-12T10:12:20+02:00,c0625d9,c0625d9ea702cc85d4387caf8a3d410ec372cdbe,record virtualizer experiment,Sacha Ichbiah,1,parent,31,686,387,1073,registry ui: 13 files / 570 LOC; components: 9 files / 255 LOC; tests: 4 files / 172 LOC; registry json: 3 files / 49 LOC; registry.json: 1 files / 15 LOC; view routes: 1 files / 12 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
54,2026-06-12,2026-06-12T10:12:39+02:00,df856c3,df856c3dfae93fa4ecaece0af6958613606fc364,record schema document split,Sacha Ichbiah,1,parent,8,769,890,1659,components: 8 files / 1659 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
55,2026-06-12,2026-06-12T10:58:01+02:00,3d99c0b,3d99c0b1b4c1f1d838c179efcffe4420098267d2,update schema editor and viewers,Sacha Ichbiah,1,parent,190,5935,2727,8662,components: 67 files / 4111 LOC; registry ui: 33 files / 1332 LOC; tests: 18 files / 1194 LOC; view routes: 4 files / 476 LOC; public: 5 files / 439 LOC; registry: 2 files / 348 LOC; registry json: 20 files / 276 LOC; docs: 9 files / 231 LOC,3,61,32,93,14,304,PDF related; benchmark; docs; registry output; tests; thumbnail UI; viewer entrypoint,tests/pdf-viewer-resource.test.ts (+61/-18) | tests/pdf-viewer.test.tsx (+39/-17) | registry/new-york-v4/ui/pdf-viewer.tsx (+28/-11) | registry/new-york-v4/ui/pdf-viewer-resource.ts (+28/-9) | content/docs/viewers/pdf-viewer.mdx (+15/-6) | registry/new-york-v4/ui/pdf-viewer-toolbar.tsx (+5/-12) | components/document-thumbnail/renderers/pdf-thumbnail.tsx (+11/-4) | app/(view)/pdf-viewer-benchmark/pdf-viewer-benchmark-client.tsx (+5/-2) | components/pdf-viewer-demo.tsx (+5/-2) | registry/new-york-v4/blocks/pdf-thumbnails-block.tsx (+5/-2) | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx (+6/-1) | public/r/pdf-viewer.json (+3/-3) | public/r/pdf-thumbnails-block.json (+2/-2) | public/r/pdf-thumbnail-sidebar.json (+1/-1),Updated PDF tests. Regenerated registry JSON output. Updated PDF benchmark harness. Files: app/(view)/pdf-viewer-benchmark/pdf-viewer-benchmark-client.tsx | components/pdf-viewer-demo.tsx | public/r/pdf-thumbnail-sidebar.json | public/r/pdf-thumbnails-block.json | public/r/pdf-viewer.json | registry/new-york-v4/blocks/pdf-thumbnails-block.tsx | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx | registry/new-york-v4/ui/pdf-viewer-resource.ts | registry/new-york-v4/ui/pdf-viewer-toolbar.tsx | registry/new-york-v4/ui/pdf-viewer.tsx | tests/pdf-viewer-resource.test.ts | tests/pdf-viewer.test.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
56,2026-06-12,2026-06-12T12:12:40+02:00,7f3ecd5,7f3ecd5bf5f5e0ab61e5f2d3cf2090d925ed30a0,update document viewers,Sacha Ichbiah,1,parent,234,30571,2800,33371,tests: 37 files / 14315 LOC; components: 62 files / 11840 LOC; registry ui: 56 files / 3343 LOC; tmp: 8 files / 2035 LOC; registry: 13 files / 1231 LOC; registry json: 37 files / 283 LOC; docs: 7 files / 161 LOC; registry blocks: 6 files / 72 LOC,6,64,95,159,21,1223,PDF related; PDF source overlays; docs; loading / error states; registry output; scroll state; tests; thumbnail UI; viewer entrypoint; virtualization,tests/pdf-viewer.test.tsx (+440/-2) | tests/pdf-viewer-resource.test.ts (+144/-4) | tests/pdf-viewer-scroll.test.tsx (+123/-0) | tests/pdf-viewer-scale.test.tsx (+107/-0) | tests/pdf-viewer-virtualization.test.tsx (+78/-0) | registry/new-york-v4/ui/pdf-viewer-states.tsx (+0/-52) | tests/pdf-viewer-layout.test.ts (+48/-0) | registry/new-york-v4/ui/pdf-source.tsx (+33/-0) | registry/new-york-v4/ui/pdf-viewer-resource.ts (+25/-8) | registry/new-york-v4/ui/pdf-viewer.tsx (+11/-16) | tests/pdf-viewer-scale.test.ts (+0/-25) | registry/new-york-v4/ui/pdf-viewer-toolbar.tsx (+5/-15) | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx (+15/-3) | components/document-thumbnail/renderers/pdf-thumbnail.tsx (+8/-9) | registry/new-york-v4/ui/pdf-viewer-scroll.ts (+13/-2) | registry/new-york-v4/ui/pdf-viewer-virtualization.ts (+10/-2) | public/r/pdf-source.json (+3/-7) | public/r/pdf-viewer.json (+5/-5) | public/r/pdf-thumbnail-sidebar.json (+1/-1) | public/r/pdf-thumbnails-block.json (+1/-1) | content/docs/viewers/pdf-viewer.mdx (+0/-1),Changed page virtualization/windowing. Changed page scroll tracking/navigation. Updated PDF tests. Regenerated registry JSON output. Files: public/r/pdf-source.json | public/r/pdf-thumbnail-sidebar.json | public/r/pdf-thumbnails-block.json | public/r/pdf-viewer.json | registry/new-york-v4/ui/pdf-source.tsx | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx | registry/new-york-v4/ui/pdf-viewer-resource.ts | registry/new-york-v4/ui/pdf-viewer-scroll.ts | registry/new-york-v4/ui/pdf-viewer-states.tsx | registry/new-york-v4/ui/pdf-viewer-toolbar.tsx | registry/new-york-v4/ui/pdf-viewer-virtualization.ts | registry/new-york-v4/ui/pdf-viewer.tsx | tests/pdf-viewer-layout.test.ts | tests/pdf-viewer-resource.test.ts | tests/pdf-viewer-scale.test.ts | tests/pdf-viewer-scale.test.tsx | tests/pdf-viewer-scroll.test.tsx | tests/pdf-viewer-virtualization.test.tsx | tests/pdf-viewer.test.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
57,2026-06-12,2026-06-12T12:21:18+02:00,003b97d,003b97db8d85685db9564c4c2b6b2ce9b7a0c0bb,update document viewers,Sacha Ichbiah,1,parent,114,5350,553,5903,components: 29 files / 3146 LOC; tests: 26 files / 2202 LOC; registry ui: 26 files / 225 LOC; registry json: 24 files / 142 LOC; registry: 5 files / 120 LOC; view routes: 2 files / 35 LOC; docs: 2 files / 33 LOC,2,30,9,39,9,268,PDF related; PDF source overlays; registry output; tests; viewer entrypoint,tests/pdf-viewer-rail.test.tsx (+93/-0) | tests/pdf-viewer.test.tsx (+62/-0) | tests/pdf-viewer-page-sizes.test.tsx (+42/-2) | registry/new-york-v4/ui/pdf-viewer-page-sizes.ts (+29/-8) | public/r/pdf-source.json (+6/-2) | public/r/pdf-viewer.json (+4/-4) | tests/pdf-viewer-resource.test.ts (+6/-2) | tests/pdf-viewer-scale.test.tsx (+5/-1) | registry/new-york-v4/ui/pdf-viewer.tsx (+1/-1),Updated PDF tests. Regenerated registry JSON output. Files: public/r/pdf-source.json | public/r/pdf-viewer.json | registry/new-york-v4/ui/pdf-viewer-page-sizes.ts | registry/new-york-v4/ui/pdf-viewer.tsx | tests/pdf-viewer-page-sizes.test.tsx | tests/pdf-viewer-rail.test.tsx | tests/pdf-viewer-resource.test.ts | tests/pdf-viewer-scale.test.tsx | tests/pdf-viewer.test.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
58,2026-06-12,2026-06-12T16:32:49+02:00,e15bb15,e15bb15faca8b1ad3008dc06cdb81320ccd9aded,update components,Sacha Ichbiah,1,parent,310,35862,16040,51902,tests: 61 files / 25937 LOC; components: 118 files / 19539 LOC; registry ui: 70 files / 4478 LOC; registry: 12 files / 1062 LOC; view routes: 3 files / 298 LOC; registry json: 34 files / 290 LOC; docs: 6 files / 133 LOC; components ui: 2 files / 98 LOC,7,478,125,603,20,2401,PDF related; PDF source overlays; canvas sizing; page canvas rendering; registry output; scroll state; tests; thumbnail UI; viewer entrypoint; virtualization; zoom / DPR,tests/pdf-viewer.test.tsx (+902/-26) | tests/pdf-viewer-resource.test.ts (+487/-44) | registry/new-york-v4/ui/pdf-viewer-resource.ts (+252/-45) | tests/pdf-viewer-virtualization.test.tsx (+140/-14) | registry/new-york-v4/ui/pdf-viewer.tsx (+81/-48) | registry/new-york-v4/ui/pdf-viewer-virtualization.ts (+49/-16) | tests/pdf-viewer-scroll.test.tsx (+55/-5) | registry/new-york-v4/ui/pdf-viewer-scroll.ts (+53/-6) | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx (+37/-18) | registry/new-york-v4/ui/pdf-viewer-scale.ts (+24/-6) | components/document-thumbnail/renderers/pdf-thumbnail.tsx (+23/-5) | public/r/pdf-viewer.json (+7/-7) | registry/new-york-v4/ui/pdf-viewer-canvas.ts (+14/-0) | tests/pdf-viewer-scale.test.tsx (+8/-5) | registry/new-york-v4/ui/pdf-viewer-page.tsx (+5/-4) | tests/pdf-viewer-rail.test.tsx (+4/-2) | registry/new-york-v4/ui/pdf-source.tsx (+3/-0) | public/r/pdf-source.json (+1/-1) | public/r/pdf-thumbnail-sidebar.json (+1/-1) | public/r/pdf-thumbnails-block.json (+1/-1),Changed page virtualization/windowing. Changed page scroll tracking/navigation. Updated PDF tests. Regenerated registry JSON output. Files: public/r/pdf-source.json | public/r/pdf-thumbnail-sidebar.json | public/r/pdf-thumbnails-block.json | public/r/pdf-viewer.json | registry/new-york-v4/ui/pdf-source.tsx | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx | registry/new-york-v4/ui/pdf-viewer-canvas.ts | registry/new-york-v4/ui/pdf-viewer-page.tsx | registry/new-york-v4/ui/pdf-viewer-resource.ts | registry/new-york-v4/ui/pdf-viewer-scale.ts | registry/new-york-v4/ui/pdf-viewer-scroll.ts | registry/new-york-v4/ui/pdf-viewer-virtualization.ts | registry/new-york-v4/ui/pdf-viewer.tsx | tests/pdf-viewer-rail.test.tsx | tests/pdf-viewer-resource.test.ts | tests/pdf-viewer-scale.test.tsx | tests/pdf-viewer-scroll.test.tsx | tests/pdf-viewer-virtualization.test.tsx | tests/pdf-viewer.test.tsx,P2 large PDF core change; inspect if reverting beyond focused fix.
59,2026-06-12,2026-06-12T16:44:39+02:00,00bdac2,00bdac27057eb3d4ebfc60aedd2f8fde09f86d23,fix thumbnail loading,Sacha Ichbiah,1,parent,11,376,144,520,components: 4 files / 285 LOC; registry ui: 1 files / 95 LOC; tests: 4 files / 81 LOC; docs: 1 files / 57 LOC; registry json: 1 files / 2 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
60,2026-06-12,2026-06-12T19:07:27+02:00,0e93faa,0e93faadc3a21eb9fe5bda621b22b38e01c12fbe,update viewers and schema tests,Sacha Ichbiah,1,parent,216,13450,2726,16176,tests: 56 files / 8960 LOC; components: 84 files / 3471 LOC; registry ui: 29 files / 1637 LOC; scripts: 2 files / 1094 LOC; registry json: 23 files / 327 LOC; view routes: 4 files / 283 LOC; registry: 5 files / 156 LOC; registry.json: 1 files / 110 LOC,3,42,13,55,16,1346,PDF related; PDF source overlays; loading / error states; page canvas rendering; registry output; tests; thumbnail UI,tests/pdf-viewer-switching.test.tsx (+312/-0) | tests/pdf-source.test.tsx (+209/-0) | tests/pdf-viewer-layout-edge.test.ts (+197/-0) | tests/pdf-viewer-layout-fuzz.test.ts (+159/-0) | tests/pdf-viewer-scale-hook.test.tsx (+156/-0) | tests/pdf-viewer.test.tsx (+131/-0) | registry/new-york-v4/ui/pdf-viewer-page.tsx (+31/-13) | tests/pdf-viewer-canvas.test.ts (+39/-0) | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx (+28/-10) | tests/pdf-viewer-render-error.test.ts (+38/-0) | registry/new-york-v4/ui/pdf-viewer-render-error.ts (+10/-0) | public/r/pdf-viewer.json (+2/-2) | tests/pdf-viewer-resource.test.ts (+1/-3) | public/r/pdf-thumbnail-sidebar.json (+1/-1) | public/r/pdf-thumbnails-block.json (+1/-1) | registry/new-york-v4/ui/pdf-viewer-states.tsx (+1/-0),Updated PDF tests. Regenerated registry JSON output. Files: public/r/pdf-thumbnail-sidebar.json | public/r/pdf-thumbnails-block.json | public/r/pdf-viewer.json | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx | registry/new-york-v4/ui/pdf-viewer-page.tsx | registry/new-york-v4/ui/pdf-viewer-render-error.ts | registry/new-york-v4/ui/pdf-viewer-states.tsx | tests/pdf-source.test.tsx | tests/pdf-viewer-canvas.test.ts | tests/pdf-viewer-layout-edge.test.ts | tests/pdf-viewer-layout-fuzz.test.ts | tests/pdf-viewer-render-error.test.ts | tests/pdf-viewer-resource.test.ts | tests/pdf-viewer-scale-hook.test.tsx | tests/pdf-viewer-switching.test.tsx | tests/pdf-viewer.test.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
61,2026-06-12,2026-06-12T21:09:53+02:00,41809ac,41809ac98104167baf44acd1f146d2e57c79aa68,update data cells,Sacha Ichbiah,1,parent,27,1501,211,1712,tests: 8 files / 819 LOC; components: 14 files / 756 LOC; scripts: 1 files / 84 LOC; registry ui: 2 files / 47 LOC; registry json: 2 files / 6 LOC,0,0,0,0,1,167,tests,tests/pdf-viewer-virtualization-reset.test.tsx (+167/-0),Updated PDF tests. Files: tests/pdf-viewer-virtualization-reset.test.tsx,P4 PDF-adjacent only.
62,2026-06-12,2026-06-12T21:24:51+02:00,54169d4,54169d49dc820ccbbd3ca6b85497b21d79211f1c,update document viewers,Sacha Ichbiah,1,parent,29,5195,43,5238,tests: 13 files / 4940 LOC; registry ui: 5 files / 127 LOC; registry: 3 files / 86 LOC; components: 6 files / 81 LOC; registry json: 2 files / 4 LOC,1,4,1,5,3,543,tests; zoom / DPR,tests/pdf-viewer-interactions.test.tsx (+529/-0) | tests/pdf-viewer-scale.test.tsx (+9/-0) | registry/new-york-v4/ui/pdf-viewer-scale.ts (+4/-1),Updated PDF tests. Files: registry/new-york-v4/ui/pdf-viewer-scale.ts | tests/pdf-viewer-interactions.test.tsx | tests/pdf-viewer-scale.test.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
63,2026-06-12,2026-06-12T21:36:46+02:00,b33bdf6,b33bdf6ee53a65154b329c0d0a6a619a548c9c14,test: cover text-viewer separator splitting and byte accounting,Sacha Ichbiah,1,parent,1,66,8,74,tests: 1 files / 74 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
64,2026-06-12,2026-06-12T21:40:54+02:00,ac306aa,ac306aa7bc9786bca86bba6ea4f0264828531cf0,fix(xlsx): guard thumbnail worker against non-spreadsheet input,Sacha Ichbiah,1,parent,2,147,0,147,tests: 1 files / 140 LOC; components: 1 files / 7 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
65,2026-06-12,2026-06-12T21:47:07+02:00,856ff9a,856ff9ab3ddf61ca3b1a6e303f565a447647eb1d,test: add CSV and XLSX property/fuzz coverage,Sacha Ichbiah,1,parent,2,470,0,470,tests: 2 files / 470 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
66,2026-06-12,2026-06-12T21:50:01+02:00,c2b6609,c2b6609c204b7cc40ac60d2abe33f0700b32ca94,update ui,Sacha Ichbiah,1,parent,86,3969,474,4443,tests: 21 files / 3254 LOC; components: 28 files / 839 LOC; registry ui: 12 files / 181 LOC; registry json: 21 files / 112 LOC; registry: 4 files / 57 LOC,0,0,0,0,1,2,registry output,public/r/pdf-viewer.json (+1/-1),Regenerated registry JSON output. Files: public/r/pdf-viewer.json,P4 PDF-adjacent only.
67,2026-06-13,2026-06-13T00:06:15+02:00,6995fa4,6995fa4d31e414686015dd0ae499e83a57b98630,updates,Sacha Ichbiah,1,parent,42,2156,260,2416,tests: 16 files / 1642 LOC; components: 12 files / 363 LOC; registry ui: 8 files / 356 LOC; registry: 4 files / 47 LOC; registry json: 2 files / 8 LOC,0,0,0,0,1,12,PDF source overlays,tests/pdf-source.test.tsx (+6/-6),Touched PDF-related categories: PDF source overlays. Files: tests/pdf-source.test.tsx,P4 PDF-adjacent only.
68,2026-06-13,2026-06-13T08:00:11+02:00,bbf2e6e,bbf2e6e929640975fce5d7ad054aa8cb61e4cdc9,improve viewer scroll performance,Sacha Ichbiah,1,parent,50,6947,403,7350,tmp: 2 files / 3817 LOC; scripts: 3 files / 1888 LOC; components: 18 files / 935 LOC; view routes: 5 files / 382 LOC; registry ui: 4 files / 152 LOC; tests: 3 files / 104 LOC; registry json: 13 files / 38 LOC; registry: 1 files / 21 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
69,2026-06-13,2026-06-13T08:22:24+02:00,d143761,d143761c35e7353af9f0a6e0b05fbdd337c414a9,update tree,Sacha Ichbiah,1,parent,11,566,85,651,tests: 3 files / 258 LOC; registry ui: 3 files / 186 LOC; components: 4 files / 164 LOC; docs: 1 files / 43 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
70,2026-06-13,2026-06-13T09:49:23+02:00,efdbc27,efdbc271f2883ca12953e54c0a7bfdc083b0700d,update viewers,Sacha Ichbiah,1,parent,197,33482,5099,38581,sample: 1 files / 16759 LOC; registry ui: 74 files / 8532 LOC; components: 36 files / 5836 LOC; tests: 23 files / 2818 LOC; design: 3 files / 1358 LOC; components ui: 23 files / 1189 LOC; registry json: 28 files / 1094 LOC; scripts: 1 files / 534 LOC,2,3,21,24,12,893,PDF source overlays; design notes; public types; registry output; tests; thumbnail UI; viewer entrypoint,design/pdf-viewer-system-diagram.md (+447/-0) | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx (+94/-57) | tests/pdf-viewer.test.tsx (+64/-85) | tests/pdf-source.test.tsx (+23/-23) | public/r/pdf-viewer.json (+32/-2) | registry/new-york-v4/ui/pdf-source.tsx (+9/-9) | registry/new-york-v4/ui/pdf-viewer-types.ts (+2/-13) | registry/new-york-v4/blocks/pdf-thumbnails-block.tsx (+5/-6) | registry/new-york-v4/ui/pdf-viewer.tsx (+1/-8) | public/r/pdf-thumbnail-sidebar.json (+4/-1) | public/r/pdf-source.json (+2/-2) | public/r/pdf-thumbnails-block.json (+2/-2),Updated PDF tests. Regenerated registry JSON output. Files: design/pdf-viewer-system-diagram.md | public/r/pdf-source.json | public/r/pdf-thumbnail-sidebar.json | public/r/pdf-thumbnails-block.json | public/r/pdf-viewer.json | registry/new-york-v4/blocks/pdf-thumbnails-block.tsx | registry/new-york-v4/ui/pdf-source.tsx | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx | registry/new-york-v4/ui/pdf-viewer-types.ts | registry/new-york-v4/ui/pdf-viewer.tsx | tests/pdf-source.test.tsx | tests/pdf-viewer.test.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
